wallet_id,score
0x06b51c6882b27cb05e712185531c1f74996dd988,0
0x0795732aacc448030ef374374eaae57d2965c16c,0
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,76
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,0
0x104ae61d8d487ad689969a17807ddc338b445416,0
0x111c7208a7e2af345d36b6d4aace8740d61a3078,0
0x124853fecb522c57d9bd5c21231058696ca6d596,105
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,0
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,411
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,0
0x19df3e87f73c4aaf4809295561465b993e102668,38
0x1ab2ccad4fc97c9968ea87d4435326715be32872,0
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,0
0x22d7510588d90ed5a87e0f838391aaafa707c34b,196
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,0
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,38
0x27f72a000d8e9f324583f3a3491ea66998275b28,0
0x2844658bf341db96aa247259824f42025e3bcec2,0
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,0
0x3867d222ba91236ad4d12c31056626f9e798629c,0
0x3a44be4581137019f83021eeee72b7dc57756069,0
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,0
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,76
0x4814be124d7fe3b240eb46061f7ddfab468fe122,224
0x4839e666e2baf12a51bf004392b35972eeddeabf,131
0x4c4d05fe859279c91b074429b5fc451182cec745,0
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,387
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,0
0x4e61251336c32e4fe6bfd5fab014846599321389,0
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,0
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,69
0x54e19653be9d4143b08994906be0e27555e8834d,157
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,0
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,0
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,0
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,0
0x58d68d4bcf9725e40353379cec92b90332561683,38
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,0
0x623af911f493747c216ad389c7805a37019c662d,388
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,0
0x6d69ca3711e504658977367e13c300ab198379f1,0
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,38
0x70c1864282599a762c674dd9d567b37e13bce755,0
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,417
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,0
0x767055590c73b7d2aaa6219da13807c493f91a20,0
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,38
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,0
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,69
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,52
0x7de76a449cf60ea3e111ff18b28e516d89532152,0
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,69
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,0
0x83ea74c67d393c6894c34c464657bda2183a2f1a,0
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,0
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,0
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,0
0x880a0af12da55df1197f41697c1a1b61670ed410,157
0x8aaece100580b749a20f8ce30338c4e0770b65ed,0
0x8be38ea2b22b706aef313c2de81f7d179024dd30,100
0x8d900f213db5205c529aaba5d10e71a0ed2646db,38
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,0
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,52
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,0
0x9a363adc5d382c04d36b09158286328f75672098,38
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,52
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,38
0x9e6ec4e98793970a1307262ba68d37594e58cd78,552
0xa7e94d933eb0c439dda357f61244a485246e97b8,38
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,100
0xa98dc64bb42575efec7d1e4560c029231ce5da51,38
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,105
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,0
0xb57297c5d02def954794e593db93d0a302e43e5c,52
0xc179d55f7e00e789915760f7d260a1bf6285278b,52
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,76
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,245
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,38
0xcf0033bf27804640e5339e06443e208db5870dd2,0
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,0
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,0
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,52
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,0
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,0
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,52
