wallet_id,tx_hash,timestamp,function,token,amount
0x06b51c6882b27cb05e712185531c1f74996dd988,0x25b33b7a990646ab6c0f22d2c4e91fe563bbd9b02e361de589e7c1971e69e840,2020-10-16T00:16:57Z,Mint,,
0x0795732aacc448030ef374374eaae57d2965c16c,0x22d03ef2de5abcb5dd724279e59b050c995d6b6308ff31caccb0dfffdb6641e0,2020-11-25T13:13:37Z,Mint,,
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0xe74e61815250aae8a2cab45a4ab4a98bcda6a3832591a0bac1ebc6b88967371a,2020-12-12T06:15:09Z,Mint,,
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0xbe53512ce3ee86d9ce1e6ccd34ae29befd4a3ebd56a810996d4bf490096cfa29,2020-09-23T22:40:14Z,Mint,,
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0x13cd6337b7ddf0dd043031d45227392deb948e88d302e8f3ebd33935a795d94b,2019-07-28T05:17:20Z,Mint,,5752001003419337
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,0x13cd6337b7ddf0dd043031d45227392deb948e88d302e8f3ebd33935a795d94b,2019-07-28T05:17:20Z,Mint,,60000000000000000
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,0x936f794a8eed05ee88765e3ddabb666473210fb189867f647fbb0a38e7e986a6,2020-10-21T13:02:48Z,Mint,,
0x104ae61d8d487ad689969a17807ddc338b445416,0x44347e686635e8ae9efa4b2ba9703144ca6fd40921c7fa1446a0cdd7cca93a89,2020-12-16T05:19:37Z,Mint,,
0x111c7208a7e2af345d36b6d4aace8740d61a3078,0x654be57c6882ccff265a146e897dfe6fde850baa1ca29a9a5314874fb3aed36b,2020-11-05T19:38:35Z,Mint,,
0x124853fecb522c57d9bd5c21231058696ca6d596,0x414296d05d8725ea110f5c1808ddaf906618f9515e843128ccc232462b1b68ad,2020-11-08T05:26:05Z,Redeem,,
0x124853fecb522c57d9bd5c21231058696ca6d596,0x2b7ee51ffc617958dc0c13aa5622999cc5a030dd14bd09f60bbd9442bdbac869,2020-11-08T05:26:04Z,Mint,,
0x124853fecb522c57d9bd5c21231058696ca6d596,0xa90ebd659a734068cb11df27e1f90e8549c8b746b963d9f248fbe62a85b37373,2020-11-08T05:01:17Z,Mint,,
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,0x398f8aa6cd81d63253e45a142a23bfa4d3c071ad58ff40d1cf50698078ea4739,2020-12-14T07:25:50Z,Mint,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x25dd9f09be448680bd8d9a1dbe9491dd802178100beb70177fd58f58df0130ae,2021-06-10T14:21:49Z,Redeem,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x5eba4dd05583e917dac105e944642c8f51e09a76a54b130ec08c131870c11a91,2021-06-10T14:20:15Z,DistributedBorrowerComp,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x5eba4dd05583e917dac105e944642c8f51e09a76a54b130ec08c131870c11a91,2021-06-10T14:20:15Z,RepayBorrow,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x8a8b531f2f646cbf4c8a4a3e0b4f63fcf25214a634eeebaf200ea6cf3d3a8389,2021-06-10T14:16:53Z,Redeem,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0xd2b668a8aed84355c01baa8d45db5b06636af55d77815964461498d12b593a4d,2021-06-10T14:14:53Z,DistributedBorrowerComp,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0xd2b668a8aed84355c01baa8d45db5b06636af55d77815964461498d12b593a4d,2021-06-10T14:14:53Z,RepayBorrow,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x290ba91e38c95359feafd61f15ccaed96c84cdbd182291fc85c8005fce23ebc6,2021-06-10T14:10:30Z,Redeem,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x62e20a387ada0b67e2d1c66948bdfeee2c6c7c08e6d74dee2cf80f1b2c1972ca,2021-06-09T12:24:41Z,Mint,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0xb4ab6a22a49c8181919f930fa7101ee0634c319251f0ca6dc0d61ee6bbbb197b,2021-06-09T12:22:15Z,DistributedBorrowerComp,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0xb4ab6a22a49c8181919f930fa7101ee0634c319251f0ca6dc0d61ee6bbbb197b,2021-06-09T12:22:15Z,Borrow,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0xb41069ef6c223bafb2b34444f0e94603489346e8071f11fe06e558951b603fdc,2021-06-09T12:09:28Z,Mint,,
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,0x02a8ddfb2892a17d929fbac3e3835e1e8eb7902a0cbb0f24b8774244265eba19,2021-06-09T12:09:28Z,Mint,,
